ID,domain,title,abstract,Related (or similar) to the dataset,Venue,Doi,annotated
A30,Law,Prediction Machine Learning Models on Propensity Convicts to Criminal Recidivism,"Increasing internal state security requires an understanding of the factors that influence the commission of repetitive crimes (recidivism) since the crime is not caused by public danger but by the criminal person. Against the background of informatization of the information activities of law enforcement agencies, there is no doubt about the expediency of using artificial intelligence algorithms and blockchain technology to predict and prevent crimes. The prediction machine-learning models for identifying significant factors (individual characteristics of convicts), which affect the propensity to commit criminal recidivism, were applied in this article. For predicting the probability of propensity for criminal recidivism of customers of Ukrainian penitentiary institutions, a Decision Tree model was built to suggest the probability of repeated criminal offenses by convicts. It was established that the number of convictions to the actual punishment and suspended convictions is the main factors that determine the propensity of customers of penitentiary institutions to commit criminal recidivism in the future. Decision Tree models for the classification of convicts prone or not prone to recidivism were built. They can be used to predict new cases for decision-making support in criminal justice. In our further research, the possibility of using the technology of distributed registers/blockchain in predictive criminology will be analyzed.",Recidivism of felons on probation,Q2 journal,https://doi.org/10.3390/info14030161,Yes
A31,Marketing,Internet Advertisements Prediction,"The internet is a resourceful virtual world where a variety of information is open to public access, which expedites knowledge explosion. While the openness of the internet facilitates knowledge learning, it also carries some information people do not need. For instance, advertisements on the internet are one of the side products that have increasingly become a concern in recent years. The identification of advertisements on internet pages develops its necessity in areas such as internet security, search engines, or even education. In this paper, as an attempt to differentiate advertisements, some approaches are examined to predict the advertisements on internet pages. As a matter of fact, some promising results are presented in this paper.",Internet Advertisements,Conference,https://doi.org/10.1007/978-3-662-43871-8_60,Yes
A32,NLP,Enhancing Stance Detection through Sequential Weighted Multi-Task Learning,"The exponential growth of user-generated content on social media platforms, online news outlets, and digital communication has necessitated the development of automated tools for analyzing opinions and attitudes expressed in text. Stance detection, a critical task in Natural Language Processing, aims to identify the underlying perspective or viewpoint of an individual or group toward a specific topic or target. This paper explores the challenges of stance detection, particularly in the context of social media, where brevity, informality, and limited contextual information prevail. While sentiment analysis focuses on explicit sentiment polarity, stance detection classifies the stance or viewpoint of a text toward a target, often of an abstract nature. Motivated by recent achievements in Multi-Task Learning (MTL), this paper addresses the identified gap in the field, advocating further exploration in developing a joint neural architecture that integrates different opinion dimensions. In response, this study introduces two MTL models, Parallel Multi-Task Learning (PMTL) and Sequential Multi-Task Learning (SMTL), which incorporate sentiment analysis and sarcasm detection tasks to enhance stance detection performance. We address the complexities of MTL implementation with Transformer-based architectures and present an accessible architecture for this purpose. This study also proposes and evaluates four task weighting techniques, providing empirical evidence for their effectiveness in MTL models. Through comprehensive evaluations on benchmark datasets in both English and Arabic, we demonstrate that our most proficient model, a multi-target sequential MTL model with hierarchical weighting (SMTL-HW), achieves state-of-the-art results. These contributions underscore the potential of MTL in enhancing stance detection and offer valuable insights into the interaction between sentiment, stance, and sarcasm in text analysis.",Mawaqif,Conference,doi.org/10.1007/s13278-023-01169-7,Yes
A33,Information systems,Searching News Articles Using an Event Knowledge Graph Leveraged by Wikidata,"News agencies produce thousands of multimedia stories describing events happening in the world that are either scheduled such as sports competitions, political summits and elections, or breaking events such as military conflicts, terrorist attacks, natural disasters, etc. When writing up those stories, journalists refer to contextual background and to compare with past similar events. However, searching for precise facts described in stories is hard. In this paper, we propose a general method that leverages the Wikidata knowledge base to produce semantic annotations of news articles. Next, we describe a semantic search engine that supports both keyword based search in news articles and structured data search providing filters for properties belonging to specific event schemas that are automatically inferred.",Wikidata,Conference,https://doi.org/10.1145/3308560.331676,Yes
A34,Computer networks,Deep Learning Approach for Intelligent Intrusion Detection System,"Machine learning techniques are being widely used to develop an intrusion detection system (IDS) for detecting and classifying cyberattacks at the network-level and the host-level in a timely and automatic manner. However, many challenges arise since malicious attacks are continually changing and are occurring in very large volumes requiring a scalable solution. There are different malware datasets available publicly for further research by the cyber security community. However, no existing study has shown the detailed analysis of the performance of various machine learning algorithms on various publicly available datasets. Due to the dynamic nature of malware with continuously changing attacking methods, the malware datasets available publicly are to be updated systematically and benchmarked. In this paper, a deep neural network (DNN), a type of deep learning model, is explored to develop a flexible and effective IDS to detect and classify unforeseen and unpredictable cyberattacks. The continuous change in network behavior and rapid evolution of attacks makes it necessary to evaluate various datasets which are generated over the years through static and dynamic approaches. This type of study facilitates to identify the best algorithm which can effectively work in detecting future cyberattacks. A comprehensive evaluation of experiments of DNNs and other classical machine learning classifiers are shown on various publicly available benchmark malware datasets. The optimal network parameters and network topologies for DNNs are chosen through the following hyperparameter selection methods with KDDCup 99 dataset. All the experiments of DNNs are run till 1,000 epochs with the learning rate varying in the range [0.01-0.5]. The DNN model which performed well on KDDCup 99 is applied on other datasets, such as NSL-KDD, UNSW-NB15, Kyoto, WSN-DS, and CICIDS 2017, to conduct the benchmark. Our DNN model learns the abstract and high-dimensional feature representation of the IDS data.",KDD Cup 99,Conference,10.1109/ACCESS.2019.2895334,Yes
A35,Marketing,Time Series Model for Sales Predictions in the Wholesale Industry,"The prediction process in sales is a basis for a successful ongoing planning process for any organization. Wholesale companies, being B2B oriented, have to plan their organisational environment carefully to optimize the costs and maximize revenue. As the sales process is intersected with logistics, having precise sales predictions optimizes both sales and logistics processes. In order to track the sales towards a customer, we propose a data mart built on the top of the data warehouse to be used with daily loads of outgoing invoices and uninvoiced shipments data. Predictions are based on ARIMA model, one of the most popular forecasting models for the time series. The data is aggregated on a weekly level, as it was proven to be the most useful in this process. For the prediction purposes, we are focusing only on the outgoing invoices. From the business perspective, each product is tracked with data about the sales market, customer, quantity, and the date. In the article, the process of data preparation will also be included as it is the crucial step for successful prediction.",wholesale,Q2 journal,10.23919/MIPRO48935.2020.9245255,Yes
A36,Signal processing,Vehicle classification in distributed sensor networks,"The task of classifying the types of moving vehicles in a distributed, wireless sensor network is investigated. Specifically, based on an extensive real world experiment, we have compiled a data set that consists of 820 MByte raw time series data, 70 MByte of preprocessed, extracted spectral feature vectors, and baseline classification results using the maximum likelihood classifier. The purpose of this paper is to detail the data collection procedure, the feature extraction and pre-processing steps, and baseline classifier development.",Vehicle,Conference,https://doi.org/10.1016/j.jpdc.2004.03.020,Yes
A37,Sports,Player Recommendation System for Fantasy Premier League using Machine Learning,"Before the rise of popularity of Fantasy Sports, people were restricted to the passive consumption of sports via television and print media. With the rise of this new age industry, people are more involved with their stakes on their selected players. This aims to enable an average interested person to make informed decisions on which players to choose and invest in based on visualizations, statistical measures, and analytics. In the past, parameters like Return of Investment (ROI) were used as a metric, but that alone is insufficient to make decisions. We attempt to solve the favoritism bias (people tend to choose from their favorite teams) and generate actionable insights using Statistical Analysis and Data Science. We use the data extracted from Fantasy Premier League (FPL) API and test against the English Premier League 2021-22 (Soccer).",Fantasy football,Conference,10.1109/JCSSE54890.2022.9836260,Yes
A38,Management information systems,Personality Prediction Through CV Analysis using Machine Learning Algorithms for Automated E-Recruitment Process,"Personality of a person plays a crucial role in the organizational progress and also in the self-development process in an individual's life. One of the typical ways to predict the person's personality is either by a standard review or by scrutinizing the Curriculum Vitae of the candidate. The Conventional method of recruiting the candidates involves manual short listing of job seekers resumes according to the requirement of the company. In this work, a system that automates the task of segregating candidates based on eligibility criteria and personality evaluation in a recruitment process is proposed. To meet this requirement an online application is developed for the registration of candidate's details and analysis of candidate's personalities through an online Multiple-Choice Question (MCQ) test containing personality quizzes. Then the system analyzes professional eligibility by comparing the uploaded Curriculum Vitae trained datasets. This system employs a machine learning algorithm namely 'Logistic Regression' which helps to choose fair decisions to recruit a suitable candidate. Thus, the final results of the personality quizzes will be sent to both candidates and the admin.",CVs from Singapore,Q2 journal,10.1109/ICCCT53315.2021.9711787,Yes
A39,Music,On Using Artificial Intelligence to Predict Music Playlist Success,"The emergence of digital music platforms has fundamentally transformed the way we engage with and organize music. As playlist creation has gained widespread popularity, there is an increasing desire among music aficionados and industry experts to comprehend the factors that drive playlist success. This paper presents a machine learning-based approach designed to predict the success of music playlists. By analyzing various musical characteristics of songs, our model achieves an impressive accuracy of 89.6% in predicting playlist success. Notably, it exhibits a remarkable 92.0% accuracy in forecasting the success of popular playlists, while also effectively identifying unpopular playlists with an accuracy of 89.4%. These findings provide invaluable insights into playlist creation, ultimately enhancing the overall music-listening experience. By harnessing the power of machine learning, our proposed approach unlocks new prospects for optimizing playlist design strategies and delivering personalized music recommendations. This has significant ramifications for music enthusiasts and industry professionals seeking to elevate playlist creation and enrich the music consumption experience.",Million playlist dataset,Conference,10.1109/CCNC51664.2024.10454829,Yes
A40,Social networks,Detecting Compromised Accounts on the Pokec Online Social Network,"Online social networks have billions of users worldwide, and this number continues to grow. Users typically develop trust relationships with the accounts of other users, but the large number of users and potential gains from abuses of these trust relationships have attracted the attention of cyber-criminals. It is essential to prevent accounts from being compromised by these criminals. In this paper, an anomaly model trained on previous login data of users is applied to detect compromised accounts. The login data comes from the Pokec online social network, the largest community in Slovakia, where people can meet others and talk to their friends. The anomaly model monitors sudden changes in the behavior of a user trying to log in to their account, indicating a possible attempt by someone else to compromise the account. The efficiency of the anomaly model is validated by computing measures such as sensitivity, specificity, and overall accuracy. The results are promising, with real potential to detect compromised accounts.",Pokec Social Network,Conference,10.1109/DT.2017.8024272,Yes
A41,Food,Nantonac Collaborative Filtering: Recommendation based on Order Responses,"A recommender system suggests the items expected to be preferred by the users. Recommender systems use collaborative filtering to recommend items by summarizing the preferences of people who have tendencies similar to the user preference. Traditionally, the degree of preference is represented by a scale, for example, one that ranges from one to five. This type of measuring technique is called the semantic differential (SD) method. Web adopted the ranking method, however, rather than the SD method, since the SD method is intrinsically not suited for representing individual preferences. In the ranking method, the preferences are represented by orders, which are sorted item sequences according to the users' preferences. We here propose some methods to recommend items based on these order responses, and carry out the comparison experiments of these methods.",Sushi,Conference,https://doi.org/10.1145/3394171.3414031,Yes
A42,Urban studies,Data-Driven Real-Time Strategic Placement of Mobile Vaccine Distribution Sites,"Deployment of vaccines across the US provides significant defense against serious illness and death from COVID-19. Over 70% of vaccine-eligible Americans are at least partially vaccinated, but there are pockets of the population that are under-vaccinated, such as in rural areas and some demographic groups (e.g. age, race, ethnicity). These pockets are extremely susceptible to the Delta variant, exacerbating the healthcare crisis and increasing the risk of new variants. In this paper, we describe a data-driven model that provides real-time support to Virginia public health officials by recommending mobile vaccination site placement in order to target under-vaccinated populations. Our strategy uses fine-grained mobility data, along with US Census and vaccination uptake data, to identify locations that are most likely to be visited by unvaccinated individuals. We further extend our model to choose locations that maximize vaccine uptake among hesitant groups. We show that the top recommended sites vary substantially across some demographics, demonstrating the value of developing customized recommendation models that integrate fine-grained, heterogeneous data sources. We also validate our recommendations by analyzing the success rates of deployed vaccine sites, and show that sites placed closer to our recommended areas administered higher numbers of doses. Our model is the first of its kind to consider evolving mobility patterns in real-time for suggesting placement strategies customized for different targeted demographic groups.",SafeGraph Research Release,Conference,https://doi.org/10.1609/aaai.v36i11.21529,Yes
A43,Social media,A Benchmark for Toxic Comment Classification on Civil Comments Dataset,"Toxic comment detection on social media has proven to be essential for content moderation. This paper compares a wide set of different models on a highly skewed multi-label hate speech dataset. We consider inference time and several metrics to measure performance and bias in our comparison. We show that all BERTs have similar performance regardless of the size, optimizations or language used to pre-train the models. RNNs are much faster at inference than any of the BERT. BiLSTM remains a good compromise between performance and inference time. RoBERTa with Focal Loss offers the best performance on biases and AUROC. However, DistilBERT combines both good AUROC and a low inference time. All models are affected by the bias of associating identities. BERT, RNN, and XLNet are less sensitive than the CNN and Compact Convolutional Transformers.",Civil Comments,,,No
A44,Social media,Automated Hate Speech Detection and the Problem of Offensive Language,"A key challenge for automatic hate-speech detection on social media is the separation of hate speech from other instances of offensive language. Lexical detection methods tend to have low precision because they classify all messages containing particular terms as hate speech and previous work using supervised learning has failed to distinguish between the two categories. We used a crowd-sourced hate speech lexicon to collect tweets containing hate speech keywords. We use crowd-sourcing to label a sample of these tweets into three categories: those containing hate speech, only offensive language, and those with neither. We train a multi-class classifier to distinguish between these different categories. Close analysis of the predictions and the errors shows when we can reliably separate hate speech from other offensive language and when this differentiation is more difficult. We find that racist and homophobic tweets are more likely to be classified as hate speech but that sexist tweets are generally classified as offensive. Tweets without explicit hate keywords are also more difficult to classify.",Twitter offensive language,,,No
A45,Health,Classifying Early Infant Feeding Status from Clinical Notes Using Natural Language Processing and Machine Learning,"The objective of this study is to develop and evaluate natural language processing (NLP) and machine learning models to predict infant feeding status from clinical notes in the Epic electronic health records system. The primary outcome was the classification of infant feeding status from clinical notes using Medical Subject Headings (MeSH) terms. Annotation of notes was completed using TeamTat to uniquely classify clinical notes according to infant feeding status. We trained 6 machine learning models to classify infant feeding status: logistic regression, random forest, XGBoost gradient descent, k-nearest neighbors, and support-vector classifier. Model comparison was evaluated based on overall accuracy, precision, recall, and F1 score. Our modeling corpus included an even number of clinical notes that was a balanced sample across each class. We manually reviewed 999 notes that represented 746 mother-infant dyads with a mean gestational age of 38.9 weeks and a mean maternal age of 26.6 years. The most frequent feeding status classification present for this study was exclusive breastfeeding [n = 183 (18.3%)], followed by exclusive formula bottle feeding [n = 146 (14.6%)], and exclusive feeding of expressed mother’s milk [n = 102 (10.2%)], with mixed feeding being the least frequent [n = 23 (2.3%)]. Our final analysis evaluated the classification of clinical notes as breast, formula/bottle, and missing. The machine learning models were trained on these three classes after performing balancing and down sampling. The XGBoost model outperformed all others by achieving an accuracy of 90.1%, a macro-averaged precision of 90.3%, a macro-averaged recall of 90.1%, and a macro-averaged F1 score of 90.1%. Our results demonstrate that natural language processing can be applied to clinical notes stored in the electronic health records to classify infant feeding status. Early identification of breastfeeding status using NLP on unstructured electronic health records data can be used to inform precision public health interventions focused on improving lactation support for postpartum patients.",Infant Health and Development Program (IHDP),,,No
A46,Demography,Combining Family History and Machine Learning to Link Historical Records: The Census Tree Data Set,"A key challenge for research on many questions in the social sciences is that it is difficult to link records in a way that allows investigators to observe people at different points in their life or across generations. In this paper, we contribute to recent efforts to create these links with a new approach that relies on millions of record links created by individual contributors to a large, public, wiki-style family tree. We use these “true” links both to inform the decisions one needs to make when using automated methods to link records and as a training data set for use in a supervised machine learning approach. We describe our procedure and illustrate its potential by linking individuals across the 100% samples of the US censuses from 1900, 1910, and 1920. When linking adjacent censuses, we obtain an overall match rate of 62-65 percent (for over 88.9 million matches), with a false positive rate that is around 6-7 percent and with links that are similar to the population along observable characteristics. Thus, our method allows us to link records with a combination of a high match rate, precision, and representativeness that is beyond the current frontier. Finally, we demonstrate the potential of the data by estimating the degree of intergenerational transmission of literacy between father-son and mother-daughter pairs.",US Census Record,,,No
A47,Movies,Combining Provenance with Trust in Social Networks for Semantic Web Content Filtering,"Social networks are a popular movement on the web. On the Semantic Web, it is simple to make trust annotations to social relationships. In this paper, we present a two-level approach to integrating trust, provenance, and annotations in Semantic Web systems. We describe an algorithm for inferring trust relationships using provenance information and trust annotations in Semantic Web-based social networks. Then, we present an application, FilmTrust, that combines the computed trust values with the provenance of other annotations to personalize the website. The FilmTrust system uses trust to compute personalized recommended movie ratings and to order reviews. We believe that the results obtained with FilmTrust illustrate the success that can be achieved using this method of combining trust and provenance on the Semantic Web.",FilmTrust,,,No
A48,Health,Comparison of Multivariate Linear Regression and a Machine Learning Algorithm Developed for Prediction of Precision Warfarin Dosing in a Korean Population,"Personalized warfarin dosing is influenced by various factors including genetic and non-genetic factors. Multiple linear regression (LR) is known as a conventional method to develop predictive models. Recently, machine learning approaches have been extensively implemented for warfarin dosing due to the hypothesis of non-linear association between covariates and stable warfarin dose. To extend the multiple linear regression algorithm for personalized warfarin dosing in a Korean population and compare with a machine learning-based algorithm. From this cohort study, we collected information on 650 patients taking warfarin who achieved steady state including demographic information, indications, comorbidities, comedications, habits, and genetic factors. The dataset was randomly split into training set (90%) and test set (10%). The LR and machine learning (gradient boosting machine [GBM]) models were developed on the training set and were evaluated on the test set. LR and GBM models were comparable in terms of accuracy of ideal dose (75.38% and 73.85%), correlation (0.77 and 0.73), mean absolute error (0.58 mg/day and 0.64 mg/day), and root mean square error (0.82 mg/day and 0.9 mg/day), respectively. VKORC1 genotype, CYP2C9 genotype, age, and weight were the highest contributors and could obtain 80% of maximum performance in both models. This study shows that our LR and GBM models are satisfactory to predict warfarin dose in our dataset. Both models showed similar performance and feature contribution characteristics. LR may be the appropriate model due to its simplicity and interpretability.",Warfarin,,,No
A49,Biology,Context and Prediction Matter for the Interpretation of Social Interactions Across Species,"Interpreting social interactions in animals is crucial for understanding their behavior and evolution. Contextual factors and predictive models play a significant role in accurately identifying and interpreting these interactions. This study explores how different contexts and predictive frameworks can influence the interpretation of social behaviors in various species. By incorporating machine learning algorithms and contextual data, we aim to enhance the accuracy and depth of understanding of animal social interactions. The findings could have implications for ethology, conservation efforts, and the development of AI models for behavior prediction.",Animal Behavior,,,No
A50,Health,COVID-19 Vaccination Intent and Willingness to Pay in Bangladesh: A Cross-Sectional Study,"This article reports the intent to receive a SARS-COV-2 vaccine, its predictors and willingness to pay in Bangladesh. We carried out an online cross-sectional survey of 697 adults from the general population of Bangladesh in January 2021. A structured questionnaire was used to assess vaccination intent. The questionnaire included sociodemographic variables and health belief model constructs which may predict vaccination intent. Among the participants, 26% demonstrated a definite intent, 43% probable intent, 24% probable negative, and 7% a definite negative intention. Multivariable logistic regression analyses suggest an association between definite intent and previous COVID-19 infection (OR: 2.86; 95% CI: 1.71-4.78), perceiving COVID-19 as serious (OR: 1.93; 1.04-3.59), the belief that vaccination would make them feel less worried about catching COVID-19 (OR: 4.42; 2.25-8.68), and concerns about vaccine affordability (OR: 1.51; 1.01-2.25). Individuals afraid of the side effects (OR: 0.34; 0.21-0.53) and those who would take the vaccine if the vaccine were taken by many others (OR: 0.44; 0.29-0.67) are less likely to have a definite intent. A definite negative intent is associated with the concern that the vaccine may not be halal (OR: 2.03; 1.04-3.96). Furthermore, 68.4% are willing to pay for the vaccine. The median amount that they are willing to pay is USD 7.08. The study findings reveal that the definite intent to receive the SARS-CoV-2 vaccination among the general population varies depending on their COVID-19-related health beliefs and no significant association was found with sociodemographic variables.",willingness-to-pay for vaccine,,,No
A51,Finance,Credit Elasticities in Less-Developed Economies: Implications for Microfinance,"Policymakers often prescribe that microfinance institutions increase interest rates to eliminate their reliance on subsidies. This strategy makes sense if the poor are rate insensitive: then microlenders increase profitability (or achieve sustainability) without reducing the poor's access to credit. We test the assumption of price inelastic demand using randomized trials conducted by a consumer lender in South Africa. The demand curves are downward sloping, and steeper for price increases relative to the lender's standard rates. We also find that loan size is far more responsive to changes in loan maturity than to changes in interest rates, which is consistent with binding liquidity constraints.",credit elasticities,,,No
A52,Finance,Credit Scoring in the Era of Big Data,"For most Americans, access to credit is an essential requirement for upward mobility and financial success. A favorable credit rating is necessary to purchase a home or car, to start a new business, to seek higher education, or to pursue other important goals. For many consumers, strong credit is also necessary to gain access to employment, rental housing, and essential services such as insurance. At present, however, individuals have very little control over how they are scored and have even less ability to contest inaccurate, biased, or unfair assessments of their credit. Traditional, automated credit-scoring tools raise longstanding concerns of accuracy and unfairness. The recent advent of new 'big-data' credit-scoring products heightens these concerns. The credit-scoring industry has experienced a recent explosion of start-ups that take an 'all data is credit data' approach, combining conventional credit information with thousands of data points mined from consumers' offline and online activities.",FICO,,,No
A53,Marketing,Data-driven text features for sponsored search click prediction,"Much search engine revenue comes from sponsored search ads displayed with algorithmic search results. To maximize revenue, it is essential to choose a good slate of ads for each query, requiring accurate prediction of whether or not users will click on an ad. Click prediction is relatively easy for the ads that have been displayed many times, and have significant click history, but in the long tail with minimal or no click history, other features are needed to predict user response. In this work, we investigate the use of novel text features for this problem, within the context of a state-of-the-art sponsored search system. In particular, we propose the use of detailed word-pair indicator features between the query and ad. We compare the new features to the traditional vector-space and language modeling features extracted in a typical information-retrieval style. We evaluate these approaches in a maximum-entropy ranking model using the click-view data from a commercial search-engine traffic. We show that the word-pair features are highly helpful for sponsored search click prediction, not only improving over the sophisticated click-history feedback based systems, but also compensating for the lack of click history to some extent. In contrast, we find that the language and vector-space modeling approaches are significantly less effective.",Commercial search-engine traffic,,,No
A54,Health,Decision support system for arrhythmia prediction using convolutional neural network structure without preprocessing,"Arrhythmia is a disease-influencing heart and is manifested by an irregular heartbeat. Atrial fibrillation (Afib), atrial flutter (Afl), and ventricular fibrillation (Vfib) are heart arrhythmias affecting predominantly senior citizens. An electrocardiogram (ECG) is a device serving to measure the ECG signal and diagnosis of an abnormal pattern which represents a heartbeat defects. Though it is possible to analyze these signals manually, in some cases it is a difficult task due to the often signal distortion by noise. Furthermore, manual analyzation of patterns is subjective and can lead to an inaccurate diagnosis. An automated computer-aided diagnosis (CAD) is a technique to eliminate these shortcomings. In this work, we present a 6-layer deep convolutional neural network (CNN) for automatic ECG pattern classification of the normal (Nr), Afib, Afl, and Vfib classes. This proposed CNN model requires simple feature extraction and no pre-processing of ECG signals. For two seconds ECG segments, the model obtained the accuracy of 97.78%, specificity and sensitivity of 98.82% and 99.76% respectively. This proposed system can be used as an assistant automatic tool in a clinical environment as a decision support system.",Arrhythmia,,,No
A55,Health,Deep Learning Approach to Text Analysis for Human Emotion Detection from Big Data,"Emotional recognition has emerged as an essential field of study that can expose various valuable insights. Emotions can be articulated in several ways, such as speech, facial expressions, written text, and gestures. Emotion recognition in text documents is fundamentally a content-based classification issue, including concepts from natural language processing (NLP) and deep learning. In this study, a deep learning-assisted semantic text analysis (DLSTA) has been proposed for human emotion detection using big data. Emotion detection from textual sources can be achieved utilizing NLP techniques, including word embeddings extensively used for tasks like machine translation, sentiment analysis, and question answering. NLP techniques improve learning-based methods' performance by incorporating the text's semantic and syntactic features. The numerical outcomes demonstrate that the proposed method achieves a human emotion detection rate of 97.22% and a classification accuracy rate of 98.02%, outperforming different state-of-the-art methods and can be further enhanced by other emotional word embeddings.",Health-related textual data,,,No
A56,Health,Deep Learning Classification of Cardiomegaly Using Combined Imaging and Non-imaging ICU Data,"In this paper, we investigate the classification of cardiomegaly using multimodal data, combining imaging data from chest radiography with routinely collected Intensive Care Unit (ICU) data comprising vital sign values, laboratory measurements, and admission metadata. In practice a clinician would assess for the presence of cardiomegaly using a synthesis of multiple sources of data, however, prior machine learning approaches to this task have focused on chest radiographs only. We show that non-imaging ICU data can be used for cardiomegaly classification and propose a novel multimodal network trained simultaneously on both chest radiographs and ICU data. We compare the predictive power of both single-mode approaches with the joint network. We use a subset of data from the publicly available MIMIC-CXR and MIMIC-IV datasets, which contain both chest radiographs and non-imaging ICU data for the same patients. The approach from non-imaging ICU data alone achieves an AUC of 0.684 and the standard chest radiography approach an AUC of 0.840. Our joint model achieves an AUC of 0.880. We conclude that non-imaging ICU data have predictive value for cardiomegaly, and that combining chest radiographs with non-imaging ICU data has the potential to improve model performance for the same subset of patients, with further work required to demonstrate a significant improvement.",MIMIC-CXR-JPG,,,No
A57,News,Distant Political News Classification: Facilitating Machine Learning Identification of News Topics Across Multilingual Text Corpora,"The increasing volume of online news has made it considerably more difficult for scholars to identify political news. Ongoing advances in computational methods and natural language processing help to tackle this challenge. Yet, scholars who aim to take a comparative approach to study political news content are facing the challenge of addressing multiple languages. Training individual supervised machine learning classifiers for multiple languages is a costly and time-consuming process. Instead of relying on labels generated by manual coding, we explore the use of `distant' labels created by cues in article URLs. Specifically, we explore how sections reflected in URLs (e.g., nytimes.com/politics/) can help create training material for supervised machine learning classifiers. Using cues provided by news media organizations, such an approach allows for efficient political news identification at scale, while also allowing easy implementation across languages. We rely on an existing data set that consists of approximately 870,000 URLs of news-related content from four different countries (Italy, Germany, Netherlands, Poland), with a large sample of hand-labelled articles for each country. We test this method by providing a comparison to 'classical' supervised machine learning and a multilingual BERT model. We also expand topic identification to sports, entertainment, and economic news. Our results suggest that the use of URL section cues to distantly annotate texts provides a cheap and easy-to-implement way of classifying large volumes of news texts that can save researchers much valuable resources without necessarily having to sacrifice quality.",New York Times Annotated Corpus,,,No
A58,Literature,Enhanced Emotion and Sentiment Recognition for Empathetic Dialogue System Using Big Data and Deep Learning Methods,"The article presents the results of work on improving sentiment and emotion recognition for Polish texts using a big data-based expansion process and larger neural language models. The proposed recognition method is intended to serve in a therapeutic dialogue system to analyze sentiment and emotion in human utterances. First, the language model is enhanced, by replacing the BERT neural language model with RoBERTa. Next, the emotion-based text corpus is enlarged. A novel process of augmenting an emotion-labeled text corpus using semantically similar data from an unlabeled corpus, inspired by semi-supervised learning methods, is proposed. The process of using the Common Crawl web archive to create an enlarged corpus, named CORTEX+pCC, is presented. An empathetic dialogue system named Terabot, incorporating the elaborated method, is also described. The system is designed to employ elements of cognitive-behavioral therapy for psychiatric patients. The improved language model trained on the enlarged CORTEX+pCC corpus resulted in remarkably improved sentiment and emotion recognition. The average accuracy and F1 scores increased by around 3% and 8% relative, which will allow the dialogue system to operate more appropriately for the emotional state of the patient.",Nominees corpus,,,No
A59,Health,Epileptic Seizures Prediction Using Deep Learning Techniques,"Epilepsy is a very common neurological disease that has affected more than 65 million people worldwide. In more than 30% of the cases, people affected by this disease cannot be cured with medicines or surgery. However, predicting a seizure before it actually occurs can help in its prevention through therapeutic intervention. Studies have observed that abnormal activity inside the brain begins a few minutes before the start of a seizure, which is known as the preictal state. Many researchers have tried to find a way for predicting this preictal state of a seizure but an effective prediction in terms of high sensitivity and specificity still remains a challenge. The current study proposes a seizure prediction system that employs deep learning methods. This method includes preprocessing of scalp EEG signals, automated features extraction using convolutional neural network, and classification with the support of vector machines. The proposed method has been applied on 24 subjects of scalp EEG dataset of CHBMIT resulting in successfully achieving an average sensitivity and specificity of 92.7% and 90.8% respectively.",Epileptic Seizures,,,No
A60,Marketing,Evaluation of Classification and Ensemble Algorithms for Bank Customer Marketing Response Prediction,"This article attempts to improve the performance of classification algorithms used in the bank customer marketing response prediction of an unnamed Portuguese bank using the Random Forest ensemble. A thorough exploratory data analysis (EDA) was conducted on the data in order to ascertain the presence of anomalies such as outliers and extreme values. The EDA revealed that the bank data had 45,211 instances and 17 features, with 11.7% positive responses. This was in addition to the detection of outliers and extreme values. Classification algorithms used for modeling the bank dataset include Logistic Regression, Decision Tree, Naïve Bayes, and the Random Forest ensemble. These algorithms were applied to both the balanced and original bank data using Orange 3.2 data mining application following the Cross Industry Standard for Data Mining (CRISP-DM), and the ten-fold cross-validation method. Results from the experimental methods revealed that the performance of the Random Forest ensemble improved when the data was balanced. Results also showed that the features duration, poutcome, contact, month, and housing were the most important features that contribute to the success of the bank customer marketing campaign for deposit subscription. The study also revealed that the duration of call to clients, response to past promotions, and the use of cell phone contribute positively to the success of the campaign. While the months of September, November, March, and April recorded higher subscription rates. Those in management cadre and technicians were found to have responded more positively to the campaign than those in other job categories.",Bank Marketing,,,No
A61,Economics,Food insecurity as a predictor of metabolic syndrome in U.S. female adults,"To examine the association between household food insecurity and metabolic syndrome in the U.S. female adult population. We analyzed the 2007–2014 U.S. National Health and Nutrition Examination Survey data. Sample included 4,249 female adults who had complete data on metabolic syndrome components, household food security, and important potential socio-demographic predictors of metabolic syndrome. Household food security was categorized as full, marginal, low, and very low. F-tests were used to compare those in full food security households and those in each of the other food security category households for prevalence and potential socio-demographic predictors of metabolic syndrome. Logistic regression analyses were used to determine the association between household food security and metabolic syndrome. Women in low food security households were significantly more likely to have a waist circumference ≥ 88 cm and to have fasting glucose >100 mg/dl. Women in very low food security households were significantly more likely to have high density lipoprotein <50 mg/dl. Women in low and very low food security households were significantly more likely to have triglycerides ≥ 150 mg/dl. Findings suggest that women in low and very low food security households are at increased risk for metabolic syndrome.",Adult,,,No
